book,book_abbr,book_order,chapter,chapter_abbr,chapter_order,image_urls,images
The Great Hunt,TGH,3,Chapter 10: The Hunt Begins,0,93,https://library.tarvalon.net/images/thumb/7/77/Horn_of_Valere_Chapter_Icon.png/150px-Horn_of_Valere_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/7/77/Horn_of_Valere_Chapter_Icon.png/150px-Horn_of_Valere_Chapter_Icon.png', 'path': 'full/138ea6c8e9919edefc6571688e2877baa0055c60.jpg', 'checksum': 'c62d55d66f5991d363212adb817a33f2'}]"
The Great Hunt,TGH,3,Chapter 9: Leavetakings,,92,https://library.tarvalon.net/images/thumb/f/f8/Flame_of_Tar_Valon_Chapter_Icon.png/150px-Flame_of_Tar_Valon_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/f/f8/Flame_of_Tar_Valon_Chapter_Icon.png/150px-Flame_of_Tar_Valon_Chapter_Icon.png', 'path': 'full/c8b3986cd2adc5925fa128283a140921d2dd1a63.jpg', 'checksum': 'b5ba643bdd95c00cb03e105ff5d758af'}]"
The Great Hunt,TGH,3,Chapter 8: The Dragon Reborn,,91,https://library.tarvalon.net/images/thumb/3/3c/Dragon%27s_Fang_Chapter_Icon.png/150px-Dragon%27s_Fang_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/3/3c/Dragon%27s_Fang_Chapter_Icon.png/150px-Dragon%27s_Fang_Chapter_Icon.png', 'path': 'full/e0499e6fb77d41e53a75bac8662ee87bb017e51c.jpg', 'checksum': '45b6872cbc561616e4e0f6543a4544ba'}]"
The Great Hunt,TGH,3,Chapter 7: Blood Calls Blood,,90,https://library.tarvalon.net/images/thumb/3/3e/Wheel_and_Serpent_Chapter_Icon.png/150px-Wheel_and_Serpent_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/3/3e/Wheel_and_Serpent_Chapter_Icon.png/150px-Wheel_and_Serpent_Chapter_Icon.png', 'path': 'full/264340201cf4b0e32abe565233b52a6c6ff75150.jpg', 'checksum': '9d000d351e3a21d1e2e2771cc93a1d70'}]"
The Great Hunt,TGH,3,Chapter 5: The Shadow in Shienar,,88,https://library.tarvalon.net/images/thumb/9/9d/Sunburst_Chapter_Icon.png/150px-Sunburst_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/9/9d/Sunburst_Chapter_Icon.png/150px-Sunburst_Chapter_Icon.png', 'path': 'full/f7da70be5354334fc38dcea713ba45aa46e89f86.jpg', 'checksum': '106adb1cc6d2473833ffccfa9366d835'}]"
The Great Hunt,TGH,3,Chapter 4: Summoned,,87,https://library.tarvalon.net/images/thumb/7/77/Horn_of_Valere_Chapter_Icon.png/150px-Horn_of_Valere_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/7/77/Horn_of_Valere_Chapter_Icon.png/150px-Horn_of_Valere_Chapter_Icon.png', 'path': 'full/138ea6c8e9919edefc6571688e2877baa0055c60.jpg', 'checksum': 'c62d55d66f5991d363212adb817a33f2'}]"
The Great Hunt,TGH,3,Chapter 3: Friends and Enemies,,86,https://library.tarvalon.net/images/thumb/1/17/Ruby_Dagger_Chapter_Icon.png/300px-Ruby_Dagger_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/1/17/Ruby_Dagger_Chapter_Icon.png/300px-Ruby_Dagger_Chapter_Icon.png', 'path': 'full/8a0c13e2da73fb8318c9bc4fab323d91ec21c5f4.jpg', 'checksum': 'b208267eb334a7da68a85d323a868b83'}]"
The Great Hunt,TGH,3,Chapter 6: Dark Prophecy,,89,https://library.tarvalon.net/images/thumb/1/1e/Trolloc_Chapter_Icon.png/375px-Trolloc_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/1/1e/Trolloc_Chapter_Icon.png/375px-Trolloc_Chapter_Icon.png', 'path': 'full/7748b767b4ead7bf1e93f87f4e07f37612ce2607.jpg', 'checksum': 'abcfbd287e3cb5b921e117e3724e5b73'}]"
The Great Hunt,TGH,3,Chapter 2: The Welcome,,85,https://library.tarvalon.net/images/thumb/f/f8/Flame_of_Tar_Valon_Chapter_Icon.png/150px-Flame_of_Tar_Valon_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/f/f8/Flame_of_Tar_Valon_Chapter_Icon.png/150px-Flame_of_Tar_Valon_Chapter_Icon.png', 'path': 'full/c8b3986cd2adc5925fa128283a140921d2dd1a63.jpg', 'checksum': 'b5ba643bdd95c00cb03e105ff5d758af'}]"
The Great Hunt,TGH,3,Chapter 1: The Flame of Tar Valon,,84,https://library.tarvalon.net/images/thumb/3/3e/Wheel_and_Serpent_Chapter_Icon.png/150px-Wheel_and_Serpent_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/3/3e/Wheel_and_Serpent_Chapter_Icon.png/150px-Wheel_and_Serpent_Chapter_Icon.png', 'path': 'full/264340201cf4b0e32abe565233b52a6c6ff75150.jpg', 'checksum': '9d000d351e3a21d1e2e2771cc93a1d70'}]"
The Great Hunt,TGH,3,Prologue: In the Shadow,Prologue,83,https://library.tarvalon.net/images/thumb/3/3e/Wheel_and_Serpent_Chapter_Icon.png/150px-Wheel_and_Serpent_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/3/3e/Wheel_and_Serpent_Chapter_Icon.png/150px-Wheel_and_Serpent_Chapter_Icon.png', 'path': 'full/264340201cf4b0e32abe565233b52a6c6ff75150.jpg', 'checksum': '9d000d351e3a21d1e2e2771cc93a1d70'}]"
The Eye of the World,TEOTW,2,Chapter 53: The Wheel Turns,3,82,https://library.tarvalon.net/images/thumb/3/3e/Wheel_and_Serpent_Chapter_Icon.png/150px-Wheel_and_Serpent_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/3/3e/Wheel_and_Serpent_Chapter_Icon.png/150px-Wheel_and_Serpent_Chapter_Icon.png', 'path': 'full/264340201cf4b0e32abe565233b52a6c6ff75150.jpg', 'checksum': '9d000d351e3a21d1e2e2771cc93a1d70'}]"
The Eye of the World,TEOTW,2,Chapter 52: Neither Beginning Nor End,2,81,https://library.tarvalon.net/images/thumb/c/cb/Heron-Marked_Sword_Chapter_Icon_Square.png/150px-Heron-Marked_Sword_Chapter_Icon_Square.png,"[{'url': 'https://library.tarvalon.net/images/thumb/c/cb/Heron-Marked_Sword_Chapter_Icon_Square.png/150px-Heron-Marked_Sword_Chapter_Icon_Square.png', 'path': 'full/2a713bd881ffef9b71de880a94da798f50cc4519.jpg', 'checksum': 'be7cfe986aa19035a1e88022e5e1e435'}]"
The Eye of the World,TEOTW,2,Chapter 51: Against the Shadow,1,80,https://library.tarvalon.net/images/thumb/8/85/Three_Leaves_Chapter_Icon.png/300px-Three_Leaves_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/8/85/Three_Leaves_Chapter_Icon.png/300px-Three_Leaves_Chapter_Icon.png', 'path': 'full/d6823aa402b27f059d5b8c6dd52bb43f59bc0360.jpg', 'checksum': '82c8f79d3c39748a5248dd57f5aae1bb'}]"
The Eye of the World,TEOTW,2,Chapter 50: Meetings at the Eye,0,79,https://library.tarvalon.net/images/thumb/8/85/Three_Leaves_Chapter_Icon.png/300px-Three_Leaves_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/8/85/Three_Leaves_Chapter_Icon.png/300px-Three_Leaves_Chapter_Icon.png', 'path': 'full/d6823aa402b27f059d5b8c6dd52bb43f59bc0360.jpg', 'checksum': '82c8f79d3c39748a5248dd57f5aae1bb'}]"
The Eye of the World,TEOTW,2,Chapter 49: The Dark One Stirs,9,78,https://library.tarvalon.net/images/thumb/7/73/Blighted_Tree_Chapter_Icon.png/150px-Blighted_Tree_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/7/73/Blighted_Tree_Chapter_Icon.png/150px-Blighted_Tree_Chapter_Icon.png', 'path': 'full/45bf545966bc0744130394f31c7476b31626a27c.jpg', 'checksum': '926cc17517bef5ae147178d832f0613b'}]"
The Eye of the World,TEOTW,2,Chapter 48: The Blight,8,77,https://library.tarvalon.net/images/thumb/7/73/Blighted_Tree_Chapter_Icon.png/150px-Blighted_Tree_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/7/73/Blighted_Tree_Chapter_Icon.png/150px-Blighted_Tree_Chapter_Icon.png', 'path': 'full/45bf545966bc0744130394f31c7476b31626a27c.jpg', 'checksum': '926cc17517bef5ae147178d832f0613b'}]"
